BCV	text	func_morph	form_morph	strongs	lemma	normalized
John 1:18	πώποτε·	ADV	ADV	4455	πώποτε	πώποτε	
John 1:18	μονογενὴς	A-NSM	A-NSM	3439	μονογενής	μονογενής	
John 1:18	Θεὸς	N-NSM	N-NSM	2316	θεός	Θεός	
John 1:18	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
John 1:18	ὢν	V-PAP-NSM	V-PAP-NSM	1510&5723	εἰμί	ὤν	
John 1:18	εἰς	PREP	PREP	1519	εἰς	εἰς	
John 1:18	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
John 1:18	κόλπον	N-ASM	N-ASM	2859	κόλπος	κόλπον	
John 1:18	τοῦ	T-GSM	T-GSM	3588	ὁ	τοῦ	
John 1:18	Πατρὸς,	N-GSM	N-GSM	3962	πατήρ	Πατρός	
John 1:18	ἐκεῖνος	D-NSM	D-NSM	1565	ἐκεῖνος	ἐκεῖνος	
John 1:18	ἐξηγήσατο.	V-ADI-3S	V-ADI-3S	1834&5662	ἐξηγέομαι	ἐξηγήσατο	
John 1:19	Καὶ	CONJ	CONJ	2532	καί	Καί	
John 1:19	αὕτη	D-NSF	D-NSF	3778	οὗτος	αὕτη	
John 1:19	ἐστὶν	V-PAI-3S	V-PAI-3S	1510&5719	εἰμί	ἐστίν	
John 1:19	ἡ	T-NSF	T-NSF	3588	ὁ	ἡ	
John 1:19	μαρτυρία	N-NSF	N-NSF	3141	μαρτυρία	μαρτυρία	
John 1:19	τοῦ	T-GSM	T-GSM	3588	ὁ	τοῦ	
John 1:19	Ἰωάνου	N-GSM	N-GSM	2491	Ἰωάννης	Ἰωάνου	
John 1:19	ὅτε	ADV	ADV	3753	ὅτε	ὅτε	
John 1:19	ἀπέστειλαν	V-AAI-3P	V-AAI-3P	649&5656	ἀποστέλλω	ἀπέστειλαν	
John 1:19	πρὸς	PREP	PREP	4314	πρός	πρός	
John 1:19	αὐτὸν	P-ASM	P-ASM	846	αὐτός	αὐτόν	
John 1:19	οἱ	T-NPM	T-NPM	3588	ὁ	οἱ	
John 1:19	Ἰουδαῖοι	A-NPM	A-NPM	2453	Ἰουδαῖος	Ἰουδαῖοι	
John 1:19	ἐξ	PREP	PREP	1537	ἐκ	ἐξ	
John 1:19	Ἱεροσολύμων	N-GPN	N-GPN	2414	Ἱεροσόλυμα	Ἱεροσολύμων	
John 1:19	ἱερεῖς	N-APM	N-APM	2409	ἱερεύς	ἱερεῖς	
John 1:19	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:19	Λευείτας	N-APM	N-APM	3019	Λευίτης	Λευείτας	
John 1:19	ἵνα	CONJ	CONJ	2443	ἵνα	ἵνα	
John 1:19	ἐρωτήσωσιν	V-AAS-3P	V-AAS-3P	2065&5661	ἐρωτάω	ἐρωτήσωσιν	
John 1:19	αὐτόν	P-ASM	P-ASM	846	αὐτός	αὐτόν	
John 1:19	Σὺ	P-2NS	P-2NS	4771	σύ	Σύ	
John 1:19	τίς	I-NSM	I-NSM	5101	τίς	τίς	
John 1:19	εἶ;	V-PAI-2S	V-PAI-2S	1510&5719	εἰμί	εἶ	
John 1:20	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:20	ὡμολόγησεν	V-AAI-3S	V-AAI-3S	3670&5656	ὁμολογέω	ὡμολόγησεν	
John 1:20	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:20	οὐκ	PRT-N	PRT-N	3756	οὐ	οὐκ	
John 1:20	ἠρνήσατο,	V-ADI-3S	V-ADI-3S	720&5662	ἀρνέομαι	ἠρνήσατο	
John 1:20	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:20	ὡμολόγησεν	V-AAI-3S	V-AAI-3S	3670&5656	ὁμολογέω	ὡμολόγησεν	
John 1:20	ὅτι	CONJ	CONJ	3754	ὅτι	ὅτι	
John 1:20	Ἐγὼ	P-1NS	P-1NS	1473	ἐγώ	Ἐγώ	
John 1:20	οὐκ	PRT-N	PRT-N	3756	οὐ	οὐκ	
John 1:20	εἰμὶ	V-PAI-1S	V-PAI-1S	1510&5719	εἰμί	εἰμί	
John 1:20	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
John 1:20	Χριστός.	N-NSM	N-NSM	5547	Χριστός	Χριστός	
John 1:21	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:21	ἠρώτησαν	V-AAI-3P	V-AAI-3P	2065&5656	ἐρωτάω	ἠρώτησαν	
John 1:21	αὐτόν	P-ASM	P-ASM	846	αὐτός	αὐτόν	
John 1:21	Τί	I-NSN	I-NSN	5101	τίς	Τί	
John 1:21	οὖν;	CONJ	CONJ	3767	οὖν	οὖν	
John 1:21	σὺ	P-2NS	P-2NS	4771	σύ	σύ	
John 1:21	Ἡλείας	N-NSM	N-NSM	2243	Ἠλίας	Ἡλείας	
John 1:21	εἶ;	V-PAI-2S	V-PAI-2S	1510&5719	εἰμί	εἶ	
John 1:21	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:21	λέγει	V-PAI-3S	V-PAI-3S	3004&5719	λέγω	λέγει	
John 1:21	Οὐκ	PRT-N	PRT-N	3756	οὐ	Οὐκ	
John 1:21	εἰμί.	V-PAI-1S	V-PAI-1S	1510&5719	εἰμί	εἰμί	
John 1:21	Ὁ	T-NSM	T-NSM	3588	ὁ	Ὁ	
John 1:21	προφήτης	N-NSM	N-NSM	4396	προφήτης	προφήτης	
John 1:21	εἶ	V-PAI-2S	V-PAI-2S	1510&5719	εἰμί	εἶ	
John 1:21	σύ;	P-2NS	P-2NS	4771	σύ	σύ	
John 1:21	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:21	ἀπεκρίθη	V-ADI-3S	V-ADI-3S	611&5662	ἀποκρίνομαι	ἀπεκρίθη	
John 1:21	Οὔ.	PRT-N	PRT-N	3756	οὐ	Οὔ	
John 1:22	εἶπαν	V-2AAI-3P	V-2AAI-3P	3004&5627	λέγω	εἶπαν	
John 1:22	οὖν	CONJ	CONJ	3767	οὖν	οὖν	
John 1:22	αὐτῷ	P-DSM	P-DSM	846	αὐτός	αὐτῷ	
John 1:22	Τίς	I-NSM	I-NSM	5101	τίς	Τίς	
John 1:22	εἶ;	V-PAI-2S	V-PAI-2S	1510&5719	εἰμί	εἶ	
John 1:22	ἵνα	CONJ	CONJ	2443	ἵνα	ἵνα	
John 1:22	ἀπόκρισιν	N-ASF	N-ASF	612	ἀπόκρισις	ἀπόκρισιν	
John 1:22	δῶμεν	V-2AAS-1P	V-2AAS-1P	1325&5632	δίδωμι	δῶμεν	
John 1:22	τοῖς	T-DPM	T-DPM	3588	ὁ	τοῖς	
John 1:22	πέμψασιν	V-AAP-DPM	V-AAP-DPM	3992&5660	πέμπω	πέμψασιν	
John 1:22	ἡμᾶς·	P-1AP	P-1AP	1473	ἐγώ	ἡμᾶς	
John 1:22	τί	I-ASN	I-ASN	5101	τίς	τί	
John 1:22	λέγεις	V-PAI-2S	V-PAI-2S	3004&5719	λέγω	λέγεις	
John 1:22	περὶ	PREP	PREP	4012	περί	περί	
